"OriginalName","SuggestedName","Rationale","Notes"
"Class14_Sub1","Gl2dTexture","2D texture (3553); width/height; many glTex(Sub)Image2D ctors; implements Interface18_Impl3","class : Class14, Interface18_Impl3; 2D texture variant"
"Class14_Sub2","GlCubeMapTexture","Cube texture (34067); ctor uploads 6 faces (34069+i); implements Interface18_Impl2","class : Class14, Interface18_Impl2; cubemap variant"
"Class14_Sub3","Gl3dTexture","3D texture (32879); width/height/depth; glTexImage3D; implements Interface18_Impl1","class : Class14, Interface18_Impl1; 3D texture variant"
"Class14_Sub4","GlRectangleTexture","Rectangle texture (34037); width/height; implements Interface18_Impl3","class : Class14, Interface18_Impl3; NPOT rectangle texture; static color/circle helpers unrelated"
"Class15","CharCountUtil","object: method257 counts char occurrences in string, method256 shift; Class60/Class114 holders","object/singleton; no super"
"Class150","ModelDefinitionLoader","Instance Class45 archive + Class60 cache; method1203 loads Class34 by id; type 3","class; no super; parallels Class141/Class153 loaders"
"Class151","HeadIconRenderer","object: method1211 draws overhead Class105 sprite via Class46/aa using rotation tables","object/singleton; no super; static login helpers may differ"
"Class152","GzipDecompressor","Instance Inflater; method1214/1218 inflate GZIP byte arrays","class; no super; companion Class357 widget-cleanup static unrelated"
"Class153","ConfigDefinitionLoader","Instance Class45 archive + Class60 cache; method1225 loads Class42 by id; type 36","class; no super; sibling of Class141/Class150 loaders"
"Class154","CompositeNpcModelBuilder","Instance anIntArray2092 model parts + anIntArray2095 colours; method1226/1230 build Class64 from Class124 parts","class; no super; model-assembly builder with CRC caching"
"Class155","ItemActionPacketSender","object: method1237 sends item/object interaction packet via Class348_Sub47 stream","object/singleton; no super"
"Class156","LinkedListIterator","Instance aClass107(Class107 list),aClass348_Sub42 cursor; iterate doubly-linked nodes","No superclass; companion method1242 reports client errors via URL (different purpose)"
"Class157","SettingsCrcWriter","method1244 writes many Class45 archive CRCs via Class348_Sub49_Sub2.writeInt; method1245 URL-decodes","Declared object (singleton); no superclass/interface"
"Class158","HeapInfoRecord","Instance implements Interface12; Class221/Class341 refs + ints set in ctor; method51 returns Class223","implements Interface12; companion method1247 does HotSpot heap dump (different purpose)"
"Class159","ParticleAmountConfig","Instance anInt2125 read from Class348_Sub49 via opcode loop","No superclass; companion method1252 blits scene (different purpose)"
"Class160","KeyboardLayoutConfig","Instance aChar2132/anInt2135 decoded from Class348_Sub49 stream (char map)","Companion aBooleanArrayArray2133 holds static keyboard layout tables"
"Class161","ServerConnectionInfo","Instance ports (Loader.port,43594), aString2147 host; method1262 opens Class144 via Class297","No superclass; companion holds login-reset statics"
"Class162","RectangleBounds","Instance four ints x/y/w/h; method1266 clones replacing one field","Companion aClass74_2157 unrelated"
"Class163","AudioResampler","Instance anIntArrayArray2163 sinc coeffs (gcd,sin/cos in ctor); resample short/byte PCM","Companion method1273 builds image-tag string (different purpose)"
"Class164","ClientLoadStateMachine","object method1278 large state machine over Class56 enum building Class45 archives/loaders","Declared object; static load pipeline"
"Class165","RobotMouseController","Instance aRobot2176(java.awt.Robot)+aComponent2177; mouseMove, set custom cursors","No superclass; AWT Robot/BufferedImage cursor control"
"Class166","ItemDefinitionLoader","Instance Class45 archive + Class60 caches; method1287 loads Class222 from bytes via Class348_Sub49","No superclass; companion method1289 draws minimap orbs (different purpose)"
"Class167","ParticleSystemState","Instance many IntArray buffers, Class64_Sub1 emitters, Class109, ha_Sub1; ctor sizes buffers","No superclass; companion method1295 quicksorts Class318_Sub1 by depth"
"Class168","HeapDiagnosticsHolder","object holding volatile anObject2256(HotSpot bean), Class46/Class323 refs","Declared object; method1299 does bit-flag checks"
"Class169","HostPingThread","Instance implements Runnable; Thread+Class262 queue; run() resolves InetAddress and pings via jagmisc.ping","implements Runnable; companion has unrelated render statics"
"Class170","VarpStore","Instance anIntArray5063 varp values + Class356 expiry timers; implements Interface17; read varp bits","implements Interface17; companion method1318 parses NPC update packet (different purpose)"
"Class171","RefCountedHandle","Instance aHa_Sub2+anInt2270 handle freed in finalize()","Companion method1319 computes CRC32 (different purpose)"
"Class172","NpcCountAccessor","object method1327 returns Class348_Sub31.anInt6924; method1328 clears Class60 caches","Declared object; mostly delegates to other statics"
"Class173","ObjectByteSerializerHolder","Instance only toString() throwing IllegalStateException (no real state)","Companion method1331 serializes objects/Class344 to bytes (different purpose)"
"Class174","SpotAnimVector","Instance ints vector + type read from stream; method1337 computes magnitude via sqrt","No superclass; stored in Class19.aClass174Array311"
"Class175","SizeBoundedSoftCache","Instance Class356 map + Class107 LRU list + size; get/put with Class348_Sub42_Sub9 soft eviction","No superclass; generic bounded cache"
"Class176","PingHostListHolder","object holding Class348_Sub26 + Class348_Sub47[300] host list","Declared object; static holder"
"Class177","ClickFeedbackTask","Instance Class52 + implements Interface1; method7/8/9 draw via ha aa()","implements Interface1; companion method1352 spawns click feedback"
"Class178","ScriptOpcodeHolder","object holding many Class29 instances (id/value pairs)","Declared object; method1356 unrelated logging"
"Class179","GrowableStringList","Instance aStringArray2367 grown dynamically, count; get/add strings","No superclass; growth factor anInt2365"
"Class180","HintIconState","object holding IntArray, Rectangle[100], a Class196; init fills rectangles","Declared object; static UI region state"
"Class181","SpotAnimDefinition","Instance reads opcodes (model id, colour-replace arrays, anim, RGB lerp); computes colour gradients","No superclass; sequence/spotanim definition"
"Class182","LoadProgressCounters","Instance only counter ints","Companion holds Interface16[] update tasks + parses Class50_Sub4 (different purpose)"
"Class183","ParticleDefLoader","Instance Class60 cache + Class45 archive; method1380 loads Class22 from bytes","No superclass; companion method1376 unlinks Class318_Sub1 from scene lists"
"Class184","ScanlineRasterFiller","Instance anIntArray2468/aStringArray2473/Class348_Sub42_Sub19 fields","Companion method1387 resolves Interface10 textures; method1388 scanline fill"
"Class185","MapSceneDefLoader","Instance Class60 cache + Class45 archive; method1391 loads Class253 from bytes via Class348_Sub49","No superclass; standard cache-backed loader"
"Class186","TextureGenerator","abstract class; abstract method1398 generating texture/noise into FloatArray from floats","abstract; companion method1397 ticks player overhead text (different purpose)"
"Class186_Sub1","PerlinTextureProvider","extends Class186; overrides method1398 producing tiled interpolated noise via permutation","extends Class186; concrete variant; companion has glTexImage2D helpers"
"Class187","LocTypeDefLoader","Instance Class60 cache + Class45 archive; method1408 loads Class321 from bytes via Class348_Sub49","No superclass; standard cache-backed loader"
"Class188","GlowPostProcessor","Instance ha_Sub2 + Class337 shader; method1413 renders glow via FBO/GLSL (glUseProgramObjectARB)","No superclass; OpenGL shader effect"
"Class189","MapAreaDefinition","Instance anInt2525 texture, anInt2526/2530 size, booleans read via opcodes","No superclass; companion method1420 large draw routine"
"Class19","WorldListEntry","Instance host/activity strings, anInt308, aByte310 flags","Companion holds Class174[] + builds Class223/Class57 arrays"
"Class190","ModelLightingConfig","Instance many floats (light dir/intensity)+Class299; method1424 equality compare; ctor sets defaults","No superclass; rendering/lighting parameters"
"Class191","SpriteSheetCache","Instance Class262 queue + Class348_Sub6[] + IntArray[] pixel cache + sizes; method1427 retrieves cache","No superclass; sprite/image caching"
"Class192","AsyncTaskHandle","Instance two Interface5_Impl2 + booleans; method1435 invokes method21, method1437 completion check","No superclass; companion method1434 ticks Class318_Sub6 effects"
"Class193","TextureHandle","Instance Class377 + anInt2584 handle freed in finalize()","Companion method1439 builds Class279 framebuffer raster (different purpose)"
"Class194","VarbitDefLoader","Instance Class60 cache + Class45 archive; method1446 loads Class146 from bytes","No superclass; standard cache-backed loader"
"Class195","RenderableGroup","Instance Interface1[] children + ha + implements Interface16; run/draw each child","implements Interface16; renderable container"
"Class196","SingletonMarker","Instance method1450 identity-compares against known static instances; toString throws","No real instance state; enum-like marker"
"Class197","EnvelopeInterpolator","Instance anIntArray2602/2605 points; linearly interpolates envelope; read from stream","No superclass; audio/animation envelope"
"Class16","SceneTilePlaneManager","object: shifts scene-object plane levels across Class357 tile grid via method258","object/singleton; companion holds Class148/Class45 refs; mutates tile/entity planes"
"Class17","WidgetDefinition","Large instance field set (arrays, flags, Class87 widget cache); interface/widget component definition","class; no super; holds layout/scroll/config fields for an interface element"
"Class18","GlFramebufferBlitter","Instance ha_Sub2 + Class206 FBOs; OpenGL glBlitFramebufferEXT/glTexCoord blit helper","class; uses jaggl OpenGL; multisample resolve / bloom-style framebuffer blit"
"Class198","SpriteTextureData","Instance holds parallel ShortArray/IntArray/ByteArray color/index buffers, no methods","No superclass/interface; pure data holder for texture/sprite pixel arrays"
"Class199","LoadingScreenState","Instance four primitive config flags/ints accessed by trivial getters","Companion method1455 draws loading progress bar; static differs from instance purpose"
"Class2","ModelOrSpriteHolder","Instance holds aR118 (r) and aClass64_119 references only","Companion sends Class46-pair packet; static unrelated to instance data"
"Class20",ConnectionStateRefs,The two Class114 fields are identity-compared to detect login/connection mode; the ints are incidentals,"Kotlin object (static-only); no instance state beyond two Class114 fields"
"Class200",ScriptResources,Holds font def + script table + sprite array — all script/interface rendering resources,"Kotlin object; pure static reference container"
"Class201","FileStoreLocator","Object resolves cache File via Hashtable across candidate dirs using RandomAccessFile","Kotlin object; locates/creates jagex_cache file store paths"
"Class202","SocketStreamWorker","Runnable wrapping Socket in/out streams with ring buffer aByteArray2663","implements Runnable; buffered socket reader/writer thread"
"Class203","ProjectileSpawner","Object placing Class318_Sub1_Sub2_Sub1 spatial entities into scene map","Kotlin object; uses tile coords/planes to spawn moving graphics"
"Class204","MidiTrackReader","Instance reads MIDI events via Class348_Sub49, tracks per-track tick offsets","No superclass; parses multi-track MIDI timing/messages"
"Class205","CircleDrawer","Object rasterizes filled circle scanlines into Class17 line arrays","Kotlin object; midpoint circle fill drawing routine"
"Class206","FrameBufferObject","implements Interface11; wraps GL framebuffer (glGenFramebuffersEXT) with attachments","Companion method1501 handles audio/sound effects; static differs from FBO instance"
"Class207","SpriteImage","Instance has pixel/palette ByteArrays, width/height/offsets, flip/rotate/crop methods","Companion decodes sprite archive into Class207 array; indexed-color image"
"Class208","BufferedOutputStreamWorker","Runnable ring-buffer writer wrapping OutputStream on daemon thread","implements Runnable; non-blocking buffered output writer"
"Class209","UnusedToStringStub","Instance only overrides toString throwing IllegalStateException","No real instance data; companion holds Class348_Sub16_Sub3 sound ref"
"Class21","CameraRotationStub","Instance overrides toString throwing; all logic static","Companion method289 computes camera rotation trig matrices; instance is stub"
"Class210","VorbisFloorDecoder","Instance reads floor curve codebooks via bit-reader, renders FloatArray spectrum","No superclass; Vorbis floor1 audio decoder (dB float table)"
"Class211","SoundEnvelope","Instance has form/start/end/duration envelope ints, synthesizes Class348_Sub1 sound","Companion method1538 decodes player movement; static unrelated to envelope"
"Class212","CompressedBlockDecoder","Object bit-reads via Class40 to decode compressed block","Kotlin object; Huffman/LZ bit-level decompression using Class40"
"Class213","ItemDefinition","Instance has names, model ids, retexture/recolour shorts, stack/team/options config","Large item config; companion method1568 copies pixel rect (unrelated util)"
"Class214","ArrayCopyUtil","Object provides typed System.arraycopy-style fill/copy helpers","Kotlin object; bulk array copy/clear for int/float/byte/short/object"
"Class215","GameDisplayManager","Object resizes/repositions canvas, manages fullscreen Frame and applet container","Kotlin object; display-mode/screen layout controller"
"Class216","FloatGrid","implements Interface13; instance holds width*height FloatArray buffer","Companion method1583 draws fullscreen overlay; static differs from float grid"
"Class217","ParticleAmountCache","Instance caches Class159 by id in Class60 from Class45 archive","No superclass; loads/caches Class159 resources with synchronized Class60"
"Class218","MapSceneIconDef","Instance has model id/flags, builds Class105 model and Class207 sprites","Companion places/animates scene decorations; instance is map icon definition"
"Class219","ModelDefinitionCache","Instance caches Class31 models in Class60 from Class45 archives","Companion method1600 moves Class318_Sub1_Sub3_Sub3 actor; static differs from cache"
"Class22","HslColorConfig","Instance parses color config and converts RGB to HSL ints","Companion method294/295 render tiles and blit; instance is color/config holder"
"Class220","TrigLookupInit","Object initializes sin/cos lookup tables into other classes","Kotlin object; precomputes 256-entry trig tables"
"Class221","ScreenAnchorAlignment","Instance toString-stub; method1607 computes alignment offset by identity compare","Singleton-like anchor enum-ish; compares against static anchor instances"
"Class222","UnderlayDefinition","Instance loads Class207 sprite from Class166 via cached config","Reads ground/underlay config buffer; caches Class207 by id"
"Class223","ProjectileFactory","Instance toString-stub; companion method1614 builds Class348_Sub9 projectile/spotanim","Instance trivial; static creates projectiles for npc/player/Class51"
"Class224","JavaScriptBridge","Object wraps (commented) JSObject eval/call on GameApplet","Kotlin object; browser JS interop (currently stubbed out)"
"Class225","NpcDefinition","Instance has model ids, combat config, head icons, transform/options arrays","NPC config with morph variants; builds Class101 anim parts"
"Class226","TextureDefinitionCache","Instance loads Class348_Sub42_Sub11 textures from two Class45 archives","No superclass; cached texture-definition loader"
"Class227","BoxedIntHolder","Instance has single anInt2970; toString-stub","Trivial wrapper; companion holds unrelated static int array/object"
"Class228","NativeLibraryUnloader","Object uses reflection to finalize/unload native libs from Hashtable","Kotlin object; also method1630 zoom logic; primarily native-lib cleanup"
"Class229","RenderConfigFactory","Class with companion method1631 instantiating Class241_Sub2/3/1 fallback","All members static; selects/creates Class241 (GL/render) implementation"
"Class23","SkeletalAnimFrameData","Instance holds two ByteArrays plus index/transform ints, no methods","Pure data holder; animation frame/skeleton transform buffers"
"Class230","SceneProjector","Instance has String/int label fields; companion projects 3D-to-screen and draws minimap","Instance is named-entry stub; static does scene projection/minimap blit"
"Class231","HudTabPanel","Instance has id/anInt2995 getter; companion renders chat/context menu HUD","Instance trivial id holder; static draws interface tabs/menus"
"Class232","TerrainTileGeometry","Instance builds GL vertex buffer (Interface8) from s_Sub2 tile heightmap","No superclass; uploads terrain mesh/texture to ha_Sub2 renderer"
"Class233","ParticleSortRenderer","Instance depth-sorts Class318_Sub9_Sub2 vertices, builds GL buffers via Interface2","No superclass; bucket-sorts and renders particle/billboard geometry"
"Class234","RandomAccessFileOnDisk","Instance wraps RandomAccessFile with length cap, read/write/seek/close","No superclass; on-disk file store with capacity limit and finalize warning"
"Class235","SceneObjectAnimator","Instance holds Class318_Sub1 entity, Class17 sequence, animates spot/graphic","No superclass; per-object animation/sound playback state machine"
"Class236","ModelVertexData","Instance holds many ShortArrays/IntArrays plus shorts/byte, no methods","Pure data holder; model geometry/color vertex buffers"
"Class237","WorldMapScene","open class; instance holds 3D byte/int tile arrays, Class268/Class183, blends terrain","Superclass of Class237_Sub1; scene/region tile map builder"
"Class237_Sub1","WorldMapSceneSoftware","extends Class237; adds object/npc render methods into software tiles","Subclass of Class237 specialized for software/scene-object drawing"
"Class238","AbstractGameSocket","abstract class; abstract read/write/available/close socket methods","Base network connection contract; Class238_Sub1 is concrete impl"
"Class238_Sub1","SocketGameConnection","extends Class238; wraps Socket with Class376 reader and Class208 writer","Concrete socket impl of Class238; companion also updates sound/projectiles"
"Class239","GraphicsOptionState","Abstract base: holds Class348_Sub51 context + state int (anInt3138), abstract get/set/default/recalc methods","Abstract superclass of Sub1-29 settings; companion static unrelated"
"Class239_Sub1","BooleanGraphicsOptionState","Variant of Class239: simple 0/1 toggle state, no context lookup","Extends Class239; companion statics unrelated (player-name chat lookup)"
"Class239_Sub10","RangedGraphicsOptionState","Variant of Class239: state clamped 0-4, plain stored value","Extends Class239; companion statics unrelated (accent stripping, sprite loading)"
"Class239_Sub11","BinaryGraphicsOptionState","Variant of Class239: 0/1 toggle, no context dependency","Extends Class239; companion statics unrelated (native library loadProgress)"
"Class239_Sub12","BloomGraphicsOptionState","Variant of Class239: 0/1 gated by setting-value check (Class348.method2714)","Extends Class239; reads aClass239_Sub25 setting; companion statics unrelated"
"Class239_Sub13","GroundDecorOptionState","Variant of Class239: state 0-2 from context mode","Extends Class239; companion static draws entity overhead text (unrelated)"
"Class239_Sub14","WaterDetailOptionState","Variant of Class239: state 0-2, downgrades vs sibling Sub3 setting","Extends Class239; companion statics unrelated (loading screen, fps benchmark)"
"Class239_Sub15","TextureQualityOptionState","Variant of Class239: state 0-2 from anisotropy threshold (method1458>=96)","Extends Class239; ctor/setter notify Class126; companion statics unrelated"
"Class239_Sub16","ShadowQualityOptionState","Variant of Class239: state 0-1 depending on sibling Sub9 setting","Extends Class239; reads aClass239_Sub9; companion statics unrelated"
"Class239_Sub17","ParticleDetailOptionState","Variant of Class239: state 2 or 4 from context level (method1462>1)","Extends Class239; companion statics unrelated (UTF-8 decode, debug menu)"
"Class239_Sub18","LightDetailOptionState","Variant of Class239: state 0-2 gated by context flag and sibling Sub9","Extends Class239; reads aClass239_Sub9; companion statics unrelated (packet flush IO)"
"Class239_Sub19","NoOpGraphicsOptionState","Variant of Class239: trivial state, no clamp, no context reads","Extends Class239; companion statics unrelated (message packet build)"
"Class239_Sub2","CameraDistanceOptionState","Variant of Class239: 0/1 from context flag; companion drives view-distance scaling","Extends Class239; method1725 computes draw distance from terrain heights (companion, differs)"
"Class239_Sub20","FogOptionState","Variant of Class239: 0-2 gated by setting-value check (method2714)","Extends Class239; reads aClass239_Sub25; companion holds keyframe int-array table (unrelated)"
